,Board Game Rank,Title,Year,Description,Geek Rating,Avg Rating,Num Voters,Num Players Min,Num Players Max,Best Num Players Min,Best Num Players Max,Playtime Min,Playtime Max,Player Min Age,Language Dependence,Weight,Category,Designer
0,1,Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,8.552,8.79,43254,1,4,3,3,60,120,14,Extensive use of text - massive conversion needed to be playable,3.863101604278075,Thematic | Strategy ,Isaac Childres
1,2,Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,8.461,8.61,42367,2,4,4,4,60,60,13,Extensive use of text - massive conversion needed to be playable,2.8397932816537468,Thematic | Strategy ,Rob Daviau
2,3,Brass: Birmingham,2018,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",8.391,8.67,20391,2,4,3,4,60,120,14,No necessary in-game text,3.9102956167176353,Strategy ,Gavan Brown
3,4,Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,8.285,8.43,66708,1,5,3,3,120,120,12,Moderate in-game text - needs crib sheet or paste ups,3.2419117647058822,Strategy ,Jacob Fryxelius
4,5,Twilight Imperium: Fourth Edition,2017,"Build an intergalactic empire through trade, research, conquest and grand politics.",8.254,8.69,13930,3,6,6,6,240,480,14,Extensive use of text - massive conversion needed to be playable,4.225806451612903,Thematic | Strategy ,Dane Beltrami
5,6,Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,8.237,8.83,9932,1,4,,,30,120,14,Extensive use of text - massive conversion needed to be playable,3.5654596100278551,Thematic | Strategy ,Isaac Childres
6,7,Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,8.179,8.42,23581,2,4,3,3,120,120,14,Extensive use of text - massive conversion needed to be playable,4.4054283290924516,Strategy ,Vlaada Chv\u00e1til
7,8,Gaia Project,2017,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",8.174,8.49,16845,1,4,3,4,60,150,12,No necessary in-game text,4.3555555555555552,Strategy ,Jens Dr\u00f6gem\u00fcller
8,9,Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8.168,8.42,23533,2,4,2,2,180,240,14,Extensive use of text - massive conversion needed to be playable,3.7114178168130487,Thematic,Corey Konieczka
9,10,Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,8.129,8.29,41248,2,2,2,2,120,180,13,Extensive use of text - massive conversion needed to be playable,3.5855023789532607,War  | Strategy ,Ananda Gupta
10,11,Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,8.126,8.30,30185,1,4,3,3,75,150,12,No necessary in-game text,3.708999158957107,Strategy ,Alexander Pfister
11,12,Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,8.113,8.36,26971,1,4,2,2,90,120,13,Extensive use of text - massive conversion needed to be playable,4.0101146325016854,Strategy ,R. Eric Reuss
12,13,War of the Ring: Second Edition,2012,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,8.111,8.49,14094,2,4,2,2,150,180,13,Extensive use of text - massive conversion needed to be playable,4.1528662420382165,War  | Thematic,Roberto Di Meglio
13,14,Scythe,2016,"Five factions vie for dominance in a war-torn, mech-filled, steampunk 1920s Europe.",8.079,8.23,59165,1,5,4,4,90,115,14,Moderate in-game text - needs crib sheet or paste ups,3.4141457179377928,Strategy ,Jamey Stegmaier
14,15,The Castles of Burgundy,2011,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",8.009,8.13,47267,2,4,2,2,30,90,12,No necessary in-game text,2.9995879686856202,Strategy ,Stefan Feld
15,16,Terra Mystica,2012,Play fantastical factions.  Expand your influence by terraforming and joining cults.,7.987,8.14,39806,2,5,4,4,60,150,12,No necessary in-game text,3.9647058823529413,Strategy ,Jens Dr\u00f6gem\u00fcller
16,17,7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,7.980,8.11,62033,2,2,2,2,30,30,10,No necessary in-game text,2.2221646815121701,Strategy ,Antoine Bauza
17,18,Concordia,2013,Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.,7.963,8.12,28704,2,5,4,4,100,100,13,Moderate in-game text - needs crib sheet or paste ups,3.0213640098603123,Strategy ,Mac Gerdts
18,19,Brass: Lancashire,2007,Test your economic mettle as you build and network in the industrial revolution.,7.960,8.18,19701,2,4,4,4,60,120,14,No necessary in-game text,3.8622100954979537,Strategy ,Martin Wallace
19,20,Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife reserve.,7.946,8.11,45640,1,5,3,3,40,70,10,Extensive use of text - massive conversion needed to be playable,2.4208899876390606,Strategy  | Family ,Elizabeth Hargrave
20,21,A Feast for Odin,2016,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.933,8.20,17844,1,4,3,3,30,120,12,Moderate in-game text - needs crib sheet or paste ups,3.8450920245398774,Strategy ,Uwe Rosenberg
21,22,Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,7.924,8.17,29376,1,2,2,2,60,120,14,Extensive use of text - massive conversion needed to be playable,3.4493062966915686,Customizable | Thematic,Nate French
22,23,Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.912,8.08,30432,1,6,3,4,45,90,13,Moderate in-game text - needs crib sheet or paste ups,2.9016759776536314,Strategy ,Jamey Stegmaier
